announcements,withdrawals,starttime,asn,country,event
3227960,,2026-06-10T00:00:00,58224,IR,guerra_ira_2026
1616355,,2026-06-11T00:00:00,58224,IR,guerra_ira_2026
2116273,,2026-06-12T00:00:00,58224,IR,guerra_ira_2026
2268229,,2026-06-13T00:00:00,58224,IR,guerra_ira_2026
2104881,,2026-06-14T00:00:00,58224,IR,guerra_ira_2026
2462613,,2026-06-15T00:00:00,58224,IR,guerra_ira_2026
1464568,,2026-06-16T00:00:00,58224,IR,guerra_ira_2026
2661043,,2026-06-17T00:00:00,58224,IR,guerra_ira_2026
2628728,,2026-06-18T00:00:00,58224,IR,guerra_ira_2026
569173,,2026-06-19T00:00:00,58224,IR,guerra_ira_2026
2165454,,2026-06-20T00:00:00,58224,IR,guerra_ira_2026
2759897,,2026-06-21T00:00:00,58224,IR,guerra_ira_2026
1101452,,2026-06-22T00:00:00,58224,IR,guerra_ira_2026
1112521,,2026-06-23T00:00:00,58224,IR,guerra_ira_2026
2053283,,2026-06-24T00:00:00,58224,IR,guerra_ira_2026
1439419,,2026-06-10T00:00:00,197207,IR,guerra_ira_2026
909177,,2026-06-11T00:00:00,197207,IR,guerra_ira_2026
2122442,,2026-06-12T00:00:00,197207,IR,guerra_ira_2026
727336,,2026-06-13T00:00:00,197207,IR,guerra_ira_2026
967519,,2026-06-14T00:00:00,197207,IR,guerra_ira_2026
1084763,,2026-06-15T00:00:00,197207,IR,guerra_ira_2026
693718,,2026-06-16T00:00:00,197207,IR,guerra_ira_2026
1141292,,2026-06-17T00:00:00,197207,IR,guerra_ira_2026
1186728,,2026-06-18T00:00:00,197207,IR,guerra_ira_2026
701550,,2026-06-19T00:00:00,197207,IR,guerra_ira_2026
952454,,2026-06-20T00:00:00,197207,IR,guerra_ira_2026
1304862,,2026-06-21T00:00:00,197207,IR,guerra_ira_2026
724795,,2026-06-22T00:00:00,197207,IR,guerra_ira_2026
716357,,2026-06-23T00:00:00,197207,IR,guerra_ira_2026
1185044,,2026-06-24T00:00:00,197207,IR,guerra_ira_2026
225544,,2026-06-10T00:00:00,42337,IR,guerra_ira_2026
258745,,2026-06-11T00:00:00,42337,IR,guerra_ira_2026
857375,,2026-06-12T00:00:00,42337,IR,guerra_ira_2026
246346,,2026-06-13T00:00:00,42337,IR,guerra_ira_2026
836942,,2026-06-14T00:00:00,42337,IR,guerra_ira_2026
1031693,,2026-06-15T00:00:00,42337,IR,guerra_ira_2026
1046688,,2026-06-16T00:00:00,42337,IR,guerra_ira_2026
1083814,,2026-06-17T00:00:00,42337,IR,guerra_ira_2026
1392233,,2026-06-18T00:00:00,42337,IR,guerra_ira_2026
1209308,,2026-06-19T00:00:00,42337,IR,guerra_ira_2026
2018283,,2026-06-20T00:00:00,42337,IR,guerra_ira_2026
1340725,,2026-06-21T00:00:00,42337,IR,guerra_ira_2026
1366770,,2026-06-22T00:00:00,42337,IR,guerra_ira_2026
1349948,,2026-06-23T00:00:00,42337,IR,guerra_ira_2026
2393103,,2026-06-24T00:00:00,42337,IR,guerra_ira_2026
1148676,,2026-06-10T00:00:00,44244,IR,guerra_ira_2026
890538,,2026-06-11T00:00:00,44244,IR,guerra_ira_2026
1441882,,2026-06-12T00:00:00,44244,IR,guerra_ira_2026
605313,,2026-06-13T00:00:00,44244,IR,guerra_ira_2026
970485,,2026-06-14T00:00:00,44244,IR,guerra_ira_2026
837037,,2026-06-15T00:00:00,44244,IR,guerra_ira_2026
899416,,2026-06-16T00:00:00,44244,IR,guerra_ira_2026
1076751,,2026-06-17T00:00:00,44244,IR,guerra_ira_2026
930705,,2026-06-18T00:00:00,44244,IR,guerra_ira_2026
506763,,2026-06-19T00:00:00,44244,IR,guerra_ira_2026
982257,,2026-06-20T00:00:00,44244,IR,guerra_ira_2026
1202775,,2026-06-21T00:00:00,44244,IR,guerra_ira_2026
582382,,2026-06-22T00:00:00,44244,IR,guerra_ira_2026
699502,,2026-06-23T00:00:00,44244,IR,guerra_ira_2026
961193,,2026-06-24T00:00:00,44244,IR,guerra_ira_2026
286731,,2026-06-10T00:00:00,43754,IR,guerra_ira_2026
619319,,2026-06-11T00:00:00,43754,IR,guerra_ira_2026
885148,,2026-06-12T00:00:00,43754,IR,guerra_ira_2026
161120,,2026-06-13T00:00:00,43754,IR,guerra_ira_2026
394014,,2026-06-14T00:00:00,43754,IR,guerra_ira_2026
352220,,2026-06-15T00:00:00,43754,IR,guerra_ira_2026
322283,,2026-06-16T00:00:00,43754,IR,guerra_ira_2026
350216,,2026-06-17T00:00:00,43754,IR,guerra_ira_2026
386665,,2026-06-18T00:00:00,43754,IR,guerra_ira_2026
158928,,2026-06-19T00:00:00,43754,IR,guerra_ira_2026
478094,,2026-06-20T00:00:00,43754,IR,guerra_ira_2026
378521,,2026-06-21T00:00:00,43754,IR,guerra_ira_2026
360483,,2026-06-22T00:00:00,43754,IR,guerra_ira_2026
341991,,2026-06-23T00:00:00,43754,IR,guerra_ira_2026
919979,,2026-06-24T00:00:00,43754,IR,guerra_ira_2026
90176,,2026-06-10T00:00:00,12880,IR,guerra_ira_2026
88105,,2026-06-11T00:00:00,12880,IR,guerra_ira_2026
134607,,2026-06-12T00:00:00,12880,IR,guerra_ira_2026
14833,,2026-06-13T00:00:00,12880,IR,guerra_ira_2026
46217,,2026-06-14T00:00:00,12880,IR,guerra_ira_2026
63486,,2026-06-15T00:00:00,12880,IR,guerra_ira_2026
29274,,2026-06-16T00:00:00,12880,IR,guerra_ira_2026
79286,,2026-06-17T00:00:00,12880,IR,guerra_ira_2026
81999,,2026-06-18T00:00:00,12880,IR,guerra_ira_2026
31068,,2026-06-19T00:00:00,12880,IR,guerra_ira_2026
95769,,2026-06-20T00:00:00,12880,IR,guerra_ira_2026
77666,,2026-06-21T00:00:00,12880,IR,guerra_ira_2026
76078,,2026-06-22T00:00:00,12880,IR,guerra_ira_2026
85817,,2026-06-23T00:00:00,12880,IR,guerra_ira_2026
123330,,2026-06-24T00:00:00,12880,IR,guerra_ira_2026
602725,,2024-09-21T00:00:00,31126,LB,conflito_hezbollah_2024
598082,,2024-09-28T00:00:00,31126,LB,conflito_hezbollah_2024
630506,,2024-10-05T00:00:00,31126,LB,conflito_hezbollah_2024
1937815,,2024-10-12T00:00:00,31126,LB,conflito_hezbollah_2024
699822,,2024-10-19T00:00:00,31126,LB,conflito_hezbollah_2024
453738,,2024-10-26T00:00:00,31126,LB,conflito_hezbollah_2024
378437,,2024-11-02T00:00:00,31126,LB,conflito_hezbollah_2024
708704,,2024-11-09T00:00:00,31126,LB,conflito_hezbollah_2024
813904,,2024-11-16T00:00:00,31126,LB,conflito_hezbollah_2024
814012,,2024-11-23T00:00:00,31126,LB,conflito_hezbollah_2024
517126,,2024-09-21T00:00:00,9051,LB,conflito_hezbollah_2024
740018,,2024-09-28T00:00:00,9051,LB,conflito_hezbollah_2024
100473,,2024-10-05T00:00:00,9051,LB,conflito_hezbollah_2024
137758,,2024-10-12T00:00:00,9051,LB,conflito_hezbollah_2024
136990,,2024-10-19T00:00:00,9051,LB,conflito_hezbollah_2024
116013,,2024-10-26T00:00:00,9051,LB,conflito_hezbollah_2024
481485,,2024-11-02T00:00:00,9051,LB,conflito_hezbollah_2024
108071,,2024-11-09T00:00:00,9051,LB,conflito_hezbollah_2024
784457,,2024-11-16T00:00:00,9051,LB,conflito_hezbollah_2024
145102,,2024-11-23T00:00:00,9051,LB,conflito_hezbollah_2024
3639628,,2024-09-21T00:00:00,39010,LB,conflito_hezbollah_2024
5304956,,2024-09-28T00:00:00,39010,LB,conflito_hezbollah_2024
6066307,,2024-10-05T00:00:00,39010,LB,conflito_hezbollah_2024
5963674,,2024-10-12T00:00:00,39010,LB,conflito_hezbollah_2024
5572287,,2024-10-19T00:00:00,39010,LB,conflito_hezbollah_2024
6316578,,2024-10-26T00:00:00,39010,LB,conflito_hezbollah_2024
6710956,,2024-11-02T00:00:00,39010,LB,conflito_hezbollah_2024
5749010,,2024-11-09T00:00:00,39010,LB,conflito_hezbollah_2024
5829884,,2024-11-16T00:00:00,39010,LB,conflito_hezbollah_2024
6444796,,2024-11-23T00:00:00,39010,LB,conflito_hezbollah_2024
70849,,2024-09-21T00:00:00,41833,LB,conflito_hezbollah_2024
90462,,2024-09-28T00:00:00,41833,LB,conflito_hezbollah_2024
48966,,2024-10-05T00:00:00,41833,LB,conflito_hezbollah_2024
378682,,2024-10-12T00:00:00,41833,LB,conflito_hezbollah_2024
57260,,2024-10-19T00:00:00,41833,LB,conflito_hezbollah_2024
44808,,2024-10-26T00:00:00,41833,LB,conflito_hezbollah_2024
36748,,2024-11-02T00:00:00,41833,LB,conflito_hezbollah_2024
64310,,2024-11-09T00:00:00,41833,LB,conflito_hezbollah_2024
46707,,2024-11-16T00:00:00,41833,LB,conflito_hezbollah_2024
173404,,2024-11-23T00:00:00,41833,LB,conflito_hezbollah_2024
70977,,2024-09-21T00:00:00,42003,LB,conflito_hezbollah_2024
76251,,2024-09-28T00:00:00,42003,LB,conflito_hezbollah_2024
67118,,2024-10-05T00:00:00,42003,LB,conflito_hezbollah_2024
135475,,2024-10-12T00:00:00,42003,LB,conflito_hezbollah_2024
63695,,2024-10-19T00:00:00,42003,LB,conflito_hezbollah_2024
49069,,2024-10-26T00:00:00,42003,LB,conflito_hezbollah_2024
95586,,2024-11-02T00:00:00,42003,LB,conflito_hezbollah_2024
98898,,2024-11-09T00:00:00,42003,LB,conflito_hezbollah_2024
160021,,2024-11-16T00:00:00,42003,LB,conflito_hezbollah_2024
174440,,2024-11-23T00:00:00,42003,LB,conflito_hezbollah_2024
429,,2012-11-27T00:00:00,29256,SY,apagao_nacional_2012
890,,2012-11-27T06:00:00,29256,SY,apagao_nacional_2012
12780,,2012-11-27T12:00:00,29256,SY,apagao_nacional_2012
75,,2012-11-27T18:00:00,29256,SY,apagao_nacional_2012
370,,2012-11-28T00:00:00,29256,SY,apagao_nacional_2012
17680,,2012-11-28T06:00:00,29256,SY,apagao_nacional_2012
17172,,2012-11-28T12:00:00,29256,SY,apagao_nacional_2012
75,,2012-11-28T18:00:00,29256,SY,apagao_nacional_2012
263,,2012-11-29T00:00:00,29256,SY,apagao_nacional_2012
8484,,2012-11-29T06:00:00,29256,SY,apagao_nacional_2012
5355,,2012-12-01T12:00:00,29256,SY,apagao_nacional_2012
827,,2012-12-02T06:00:00,29256,SY,apagao_nacional_2012
5549,,2012-12-02T12:00:00,29256,SY,apagao_nacional_2012
56,,2012-12-02T18:00:00,29256,SY,apagao_nacional_2012
101,,2012-12-03T00:00:00,29256,SY,apagao_nacional_2012
10210,,2012-12-03T06:00:00,29256,SY,apagao_nacional_2012
62552,,2012-12-03T12:00:00,29256,SY,apagao_nacional_2012
33615,,2012-12-03T18:00:00,29256,SY,apagao_nacional_2012
47285,,2012-12-04T00:00:00,29256,SY,apagao_nacional_2012
54416,,2012-12-04T06:00:00,29256,SY,apagao_nacional_2012
41477,,2012-12-04T12:00:00,29256,SY,apagao_nacional_2012
36376,,2012-12-04T18:00:00,29256,SY,apagao_nacional_2012
302276,,2024-11-25T00:00:00,29256,SY,queda_assad_2024
491596,,2024-11-26T00:00:00,29256,SY,queda_assad_2024
52944,,2024-11-27T00:00:00,29256,SY,queda_assad_2024
129468,,2024-11-28T00:00:00,29256,SY,queda_assad_2024
27088,,2024-11-29T00:00:00,29256,SY,queda_assad_2024
44781,,2024-11-30T00:00:00,29256,SY,queda_assad_2024
34253,,2024-12-01T00:00:00,29256,SY,queda_assad_2024
302593,,2024-12-02T00:00:00,29256,SY,queda_assad_2024
357146,,2024-12-03T00:00:00,29256,SY,queda_assad_2024
155659,,2024-12-04T00:00:00,29256,SY,queda_assad_2024
362156,,2024-12-05T00:00:00,29256,SY,queda_assad_2024
61182,,2024-12-06T00:00:00,29256,SY,queda_assad_2024
113826,,2024-12-07T00:00:00,29256,SY,queda_assad_2024
824917,,2024-12-08T00:00:00,29256,SY,queda_assad_2024
1722129,,2024-12-09T00:00:00,29256,SY,queda_assad_2024
1250493,,2024-12-10T00:00:00,29256,SY,queda_assad_2024
668145,,2024-12-11T00:00:00,29256,SY,queda_assad_2024
1020466,,2024-12-12T00:00:00,29256,SY,queda_assad_2024
1038968,,2024-12-13T00:00:00,29256,SY,queda_assad_2024
1676691,,2024-12-14T00:00:00,29256,SY,queda_assad_2024
597,,2024-11-25T00:00:00,214707,SY,queda_assad_2024
669,,2024-11-26T00:00:00,214707,SY,queda_assad_2024
693,,2024-11-27T00:00:00,214707,SY,queda_assad_2024
776,,2024-11-28T00:00:00,214707,SY,queda_assad_2024
362,,2024-11-29T00:00:00,214707,SY,queda_assad_2024
525,,2024-11-30T00:00:00,214707,SY,queda_assad_2024
283,,2024-12-01T00:00:00,214707,SY,queda_assad_2024
552,,2024-12-02T00:00:00,214707,SY,queda_assad_2024
1452,,2024-12-03T00:00:00,214707,SY,queda_assad_2024
852,,2024-12-04T00:00:00,214707,SY,queda_assad_2024
809,,2024-12-05T00:00:00,214707,SY,queda_assad_2024
961,,2024-12-06T00:00:00,214707,SY,queda_assad_2024
659,,2024-12-07T00:00:00,214707,SY,queda_assad_2024
431,,2024-12-08T00:00:00,214707,SY,queda_assad_2024
